severity,dimension,code,field,detail
INFO,结构,-,-,重复主键 0 行
HIGH,价格,sh600276,mktcap,NaN 市值 3321 行 → 该股被排除；疑似 total_share 缺失/错值
MED,股本,sh601360,total_share,隐含股本跳变 +1603.0%（4.0亿→63.7亿股），疑似错值或真实公司行动，需外部复核
MED,股本,sz002532,total_share,隐含股本跳变 +672.9%（5.0亿→33.9亿股），疑似错值或真实公司行动，需外部复核
MED,股本,sz000708,total_share,隐含股本跳变 +660.6%（4.5亿→29.7亿股），疑似错值或真实公司行动，需外部复核
MED,股本,sz300442,total_share,隐含股本跳变 +562.1%（1.0亿→5.6亿股），疑似错值或真实公司行动，需外部复核
MED,股本,sz302132,total_share,隐含股本跳变 +452.3%（5.9亿→26.7亿股），疑似错值或真实公司行动，需外部复核
MED,股本,sz002625,total_share,隐含股本跳变 +421.4%（3.0亿→12.7亿股），疑似错值或真实公司行动，需外部复核
MED,股本,sh600760,total_share,隐含股本跳变 +405.1%（3.4亿→14.0亿股），疑似错值或真实公司行动，需外部复核
MED,股本,sz000301,total_share,隐含股本跳变 +401.9%（12.2亿→49.0亿股），疑似错值或真实公司行动，需外部复核
MED,股本,sh600150,total_share,隐含股本跳变 +324.5%（13.8亿→44.7亿股），疑似错值或真实公司行动，需外部复核
MED,股本,sz002594,total_share,隐含股本跳变 +313.4%（29.1亿→91.2亿股），疑似错值或真实公司行动，需外部复核
HIGH,股本,sh600208,total_share,无 total_share facts → 该股 mktcap 全空、被排除
HIGH,股本,sh600276,total_share,无 total_share facts → 该股 mktcap 全空、被排除
MED,股本,sh688256,total_share,facts 股本跳变 +31914%（0.0亿→3.6亿股），需外部复核
MED,股本,sh688188,total_share,facts 股本跳变 +5000%（0.0亿→0.8亿股），需外部复核
MED,股本,sh688169,total_share,facts 股本跳变 +4167%（0.0亿→0.5亿股），需外部复核
MED,股本,sh600930,total_share,facts 股本跳变 +3663%（2.7亿→99.6亿股），需外部复核
MED,股本,sh688343,total_share,facts 股本跳变 +2912%（0.1亿→2.7亿股），需外部复核
MED,股本,sz301606,total_share,facts 股本跳变 +2792%（0.1亿→3.7亿股），需外部复核
MED,股本,sh689009,total_share,facts 股本跳变 +2519%（0.0亿→0.0亿股），需外部复核
MED,股本,sz000785,total_share,facts 股本跳变 +2296%（2.5亿→57.7亿股），需外部复核
MED,股本,sh688708,total_share,facts 股本跳变 +2250%（0.2亿→3.6亿股），需外部复核
MED,股本,sh688568,total_share,facts 股本跳变 +1650%（0.1亿→1.6亿股），需外部复核
MED,股本,sh601360,total_share,facts 股本跳变 +1603%（4.0亿→63.7亿股），需外部复核
MED,股本,sh688052,total_share,facts 股本跳变 +1101%（0.1亿→0.8亿股），需外部复核
MED,股本,sh688608,total_share,facts 股本跳变 +1029%（0.1亿→0.9亿股），需外部复核
MED,股本,sz300866,total_share,facts 股本跳变 +1009%（0.4亿→3.7亿股），需外部复核
MED,股本,sh688036,total_share,facts 股本跳变 +1007%（0.7亿→7.2亿股），需外部复核
LOW,财务字段,sh600781,total_equity,最新期为负值
LOW,财务字段,sz002450,total_equity,最新期为负值
LOW,财务字段,sz300104,total_equity,最新期为负值
LOW,财务字段,sh600086,total_equity,最新期为负值
