code,name,隐含,真实,比值
sh600000,浦发银行,33305838300.0,33305838300.0,1.0
sh600009,上海机场,2488313040.0,2488313040.0,1.0
sh600010,包钢股份,45226032948.0,45226032948.0,1.0
sh600011,华能国际,15698093359.0,15698093359.0,1.0
sh600015,华夏银行,15914928467.999998,15914928468.0,0.9999999999999999
sh600016,民生银行,43782418502.0,43782418502.0,1.0
sh600018,上港集团,23279960504.0,23279960504.0,1.0
sh600019,宝钢股份,21782084749.0,21782084749.0,1.0
sh600023,浙能电力,13408732749.0,13408732749.0,1.0
sh600025,华能水电,18631094257.0,18631094257.0,1.0
sh600026,中远海能,5471214178.0,5471214178.0,1.0
sh600027,华电国际,11611774184.0,11611774184.0,1.0
sh600028,中国石化,120925514222.0,120925514222.0,1.0
sh600029,南方航空,18120970492.0,18120970492.0,1.0
sh600030,中信证券,15624272212.0,15624272212.0,1.0
sh600031,三一重工,9195004437.0,9195004437.0,1.0
sh600036,招商银行,25219845601.0,25219845601.0,1.0
sh600039,四川路桥,8695590645.0,8695590645.0,1.0
sh600048,保利发展,11970443418.0,11970443418.0,1.0
sh600050,中国联通,31264425327.0,31264425327.0,1.0
sh600061,国投资本,6394097772.999999,6394097773.0,0.9999999999999999
sh600066,宇通客车,2213939223.0,2213939223.0,1.0
sh600085,同仁堂,1371470262.0,1371470262.0,1.0
sh600089,特变电工,5052792571.0,5052792571.0,1.0
sh600104,上汽集团,11495277504.0,11495277504.0,1.0
sh600111,北方稀土,3615065842.0,3615065842.0,1.0
sh600118,中国卫星,1182489135.0,1182489135.0,1.0
sh600150,中国船舶,7525621288.0,7525621288.0,1.0
sh600160,巨化股份,2699746081.0,2699746081.0,1.0
sh600176,中国巨石,4003136728.0,4003136728.0,1.0
sh600183,生益科技,2429003670.0,2429003670.0,1.0
sh600188,兖矿能源,10036852020.0,10036852020.0,1.0
sh600196,复星医药,2670429325.0,2670429325.0,1.0
sh600219,南山铝业,11483701559.0,11483701559.0,1.0
sh600221,海航控股,43215632535.0,43215632535.0,1.0
sh600233,圆通速递,3424016438.0,3424016438.0,1.0
sh600276,恒瑞医药,6637199874.0,6637199874.0,1.0
sh600309,万华化学,3130471626.0,3130471626.0,1.0
sh600346,恒力石化,7039099786.0,7039099786.0,1.0
sh600362,江西铜业,3462729405.0,3462729405.0,1.0
sh600372,中航机载,4838896630.0,4838896630.0,1.0
sh600406,国电南瑞,8031756156.0,8031756156.0,1.0
sh600415,小商品城,5483559226.0,5483559226.0,1.0
sh600426,华鲁恒升,2749943015.0,2749943015.0,1.0
sh600436,片仔癀,603317210.0,603317210.0,1.0
sh600438,通威股份,4501990940.0,4501990940.0,1.0
sh600460,士兰微,1664071845.0,1664071845.0,1.0
sh600482,中国动力,2268246368.0,2268246368.0,1.0
sh600489,中金黄金,4847312564.0,4847312564.0,1.0
sh600515,海南机场,11425309602.0,11425309602.0,1.0
sh600519,贵州茅台,1250081601.0,1250081601.0,1.0
sh600522,中天科技,3412949652.0,3412949652.0,1.0
sh600547,山东黄金,4609929525.0,4609929525.0,1.0
sh600549,厦门钨业,1587585826.0,1587585826.0,1.0
sh600570,恒生电子,1893647942.0,1893647942.0,1.0
sh600584,长电科技,1789414570.0,1789414570.0,1.0
sh600585,海螺水泥,5277060044.0,5277060044.0,1.0
sh600588,用友网络,3416997409.0,3416997409.0,1.0
sh600600,青岛啤酒,1364195121.0,1364195121.0,1.0
sh600660,福耀玻璃,2609743532.0,2609743532.0,1.0
sh600674,川投能源,4874606828.0,4874606828.0,1.0
sh600690,海尔智家,9303088164.0,9303088164.0,1.0
sh600741,华域汽车,3152723984.0,3152723984.0,1.0
sh600760,中航沈飞,2834929431.0,2834929431.0,1.0
sh600795,国电电力,17835619082.0,17835619082.0,1.0
sh600803,新奥股份,3095185107.0,3095185107.0,1.0
sh600809,山西汾酒,1219964222.0,1219964222.0,1.0
sh600845,宝信软件,2857904137.0,2857904137.0,1.0
sh600875,东方电气,3458360326.0,3458360326.0,1.0
sh600886,国投电力,8004494262.0,8004494262.0,1.0
sh600887,伊利股份,6325360667.0,6325360667.0,1.0
sh600893,航发动力,2665594238.0,2665594238.0,1.0
sh600900,长江电力,24468217715.999996,24468217716.0,0.9999999999999999
sh600905,三峡能源,28587650142.0,28587650142.0,1.0
sh600918,中泰证券,7918340996.0,7918340996.0,1.0
sh600919,江苏银行,18351324463.0,18351324463.0,1.0
sh600926,杭州银行,7249002548.0,7249002548.0,1.0
sh600930,华电新能,41714285714.0,41714285714.0,1.0
sh600938,中国海油,47529953984.0,47529953984.0,1.0
sh600941,中国移动,21690937654.0,21690937654.0,1.0
sh600958,东方证券,8496645292.000001,8496645292.0,1.0000000000000002
sh600989,宝丰能源,7333359999.999999,7333360000.0,0.9999999999999999
sh600999,招商证券,8696526806.0,8696526806.0,1.0
sh601006,大秦铁路,19862892778.0,19862892778.0,1.0
sh601009,南京银行,12363567245.000002,12363567245.0,1.0000000000000002
sh601012,隆基绿能,7578069148.0,7578069148.0,1.0
sh601018,宁波港,19454388399.0,19454388399.0,1.0
sh601021,春秋航空,978333423.0,978333423.0,1.0
sh601058,赛轮轮胎,3288100259.0,3288100259.0,1.0
sh601059,信达证券,3243000000.0,3243000000.0,1.0
sh601066,中信建投,7756694797.0,7756694797.0,1.0
sh601077,渝农商行,11357000000.0,11357000000.0,1.0
sh601088,中国神华,21689434304.0,21689434304.0,1.0
sh601100,恒立液压,1340820992.0,1340820992.0,1.0
sh601111,中国国航,20492561030.0,20492561030.0,1.0
sh601117,中国化学,6105560662.0,6105560662.0,1.0
sh601127,赛力斯,1741985086.0,1741985086.0,1.0
sh601136,首创证券,2733333800.0,2733333800.0,1.0
sh601138,工业富联,19844092284.0,19844092284.0,1.0
sh601166,兴业银行,21162859513.0,21162859513.0,1.0
sh601169,北京银行,21142984272.0,21142984272.0,1.0
sh601186,中国铁建,13579541500.0,13579541500.0,1.0
sh601211,国泰海通,17581057948.0,17581057948.0,1.0
sh601225,陕西煤业,9695000000.0,9695000000.0,1.0
sh601229,上海银行,14209038737.0,14209038737.0,1.0
sh601238,广汽集团,10197065900.0,10197065900.0,1.0
sh601288,农业银行,349983033873.0,349983033873.0,1.0
sh601318,中国平安,18107641995.0,18107641995.0,1.0
sh601319,中国人保,44223990583.0,44223990583.0,1.0
sh601328,交通银行,88363784223.0,88363784223.0,1.0
sh601336,新华保险,3119546600.0,3119546600.0,1.0
sh601360,三六零,6999557879.0,6999557879.0,1.0
sh601377,兴业证券,8635987294.0,8635987294.0,1.0
sh601390,中国中铁,24531310329.0,24531310329.0,1.0
sh601398,工商银行,356406257089.0,356406257089.0,1.0
sh601456,国联民生,5680592806.0,5680592806.0,1.0
sh601600,中国铝业,17154971327.0,17154971327.0,1.0
sh601601,中国太保,9620341455.0,9620341455.0,1.0
sh601607,上海医药,3708361809.0,3708361809.0,1.0
sh601618,中国中冶,20691619170.0,20691619170.0,1.0
sh601628,中国人寿,28264705000.0,28264705000.0,1.0
sh601633,长城汽车,8578469715.0,8578469715.0,1.0
sh601658,邮储银行,120095053492.0,120095053492.0,1.0
sh601668,中国建筑,41320390444.0,41320390444.0,1.0
sh601669,中国电建,17226159334.0,17226159334.0,1.0
sh601688,华泰证券,9026863786.0,9026863786.0,1.0
sh601689,拓普集团,1737835580.0000002,1737835580.0,1.0000000000000002
sh601698,中国卫通,4224385412.0,4224385412.0,1.0
sh601727,上海电气,15540121636.0,15540121636.0,1.0
sh601728,中国电信,91507138699.0,91507138699.0,1.0
sh601766,中国中车,28698864088.0,28698864088.0,1.0
sh601788,光大证券,4610787639.0,4610787639.0,1.0
sh601800,中国交建,16213786279.0,16213786279.0,1.0
sh601816,京沪高铁,48925679370.0,48925679370.0,1.0
sh601818,光大银行,59085551061.0,59085551061.0,1.0
sh601825,沪农商行,9644444445.0,9644444445.0,1.0
sh601838,成都银行,4238435356.0,4238435356.0,1.0
sh601857,中国石油,183020977818.0,183020977818.0,1.0
sh601868,中国能建,44240183243.0,44240183243.0,1.0
sh601872,招商轮船,8074538502.000001,8074538502.0,1.0000000000000002
sh601877,正泰电器,2148968976.0,2148968976.0,1.0
sh601878,浙商证券,4535015039.0,4535015039.0,1.0
sh601881,中国银河,10934402256.0,10934402256.0,1.0
sh601888,中国中免,2077796644.0,2077796644.0,1.0
sh601898,中煤能源,13258663400.0,13258663400.0,1.0
sh601899,紫金矿业,26590714622.0,26590714622.0,1.0
sh601916,浙商银行,27464635963.000004,27464635963.0,1.0000000000000002
sh601919,中远海控,15268122965.0,15268122965.0,1.0
sh601939,建设银行,261600381459.0,261600381459.0,1.0
sh601985,中国核电,20568002074.0,20568002074.0,1.0
sh601988,中国银行,322212411814.0,322212411814.0,1.0
sh601995,中金公司,4827256868.0,4827256868.0,1.0
sh601998,中信银行,55645162264.0,55645162264.0,1.0
sh603019,中科曙光,1463115784.0,1463115784.0,1.0
sh603259,药明康德,3016519849.0,3016519849.0,1.0
sh603260,合盛硅业,1182206941.0,1182206941.0,1.0
sh603288,海天味业,5851045044.0,5851045044.0,1.0
sh603296,华勤技术,1515803032.0,1515803032.0,1.0
sh603369,今世缘,1246800037.0,1246800037.0,1.0
sh603392,万泰生物,1264392804.0,1264392804.0,1.0
sh603501,豪威集团,1257798165.0,1257798165.0,1.0
sh603799,华友钴业,1893527517.0,1893527517.0,1.0
sh603893,瑞芯微,423143549.99999994,423143550.0,0.9999999999999999
sh603986,兆易创新,703971427.0,703971427.0,1.0
sh603993,洛阳钼业,21394310176.0,21394310176.0,1.0
sh605117,德业股份,1273282072.0,1273282072.0,1.0
sh605499,东鹏饮料,734199310.0,734199310.0,1.0
sh688008,澜起科技,1220538021.0,1220538021.0,1.0
sh688009,中国通号,10589819000.0,10589819000.0,1.0
sh688012,中微公司,957842348.0,957842348.0,1.0
sh688036,传音控股,1151184545.0,1151184545.0,1.0
sh688041,海光信息,2324338091.0,2324338091.0,1.0
sh688047,龙芯中科,400999999.99999994,401000000.0,0.9999999999999999
sh688072,拓荆科技,292173270.0,292173270.0,1.0
sh688082,盛美上海,482596689.0,482596689.0,1.0
sh688111,金山办公,464013435.0,464013435.0,1.0
sh688126,沪硅产业,3305023392.9999995,3305023393.0,0.9999999999999999
sh688183,生益电子,837591234.0,837591234.0,1.0
sh688223,晶科能源,10269412261.0,10269412261.0,1.0
sh688256,寒武纪,628854008.0,628854008.0,1.0
sh688271,联影医疗,824157988.0,824157988.0,1.0
sh688303,大全能源,2132442813.0,2132442813.0,1.0
sh688396,华润微,1328210680.0,1328210680.0,1.0
sh688472,阿特斯,3643140112.0,3643140112.0,1.0
sh688506,百利天恒,412873817.0,412873817.0,1.0
sh688521,芯原股份,525915273.0,525915273.0,1.0
sh688981,中芯国际,8562184213.0,8561152853.0,1.0001204697565513
sz000001,平安银行,19405918198.0,19405918198.0,1.0
sz000002,万  科Ａ,11930709470.999998,11930709471.0,0.9999999999999999
sz000063,中兴通讯,4783534887.0,4783534887.0,1.0
sz000100,TCL科技,21946416151.0,21946416151.0,1.0
sz000157,中联重科,8648535236.0,8648535236.0,1.0
sz000166,申万宏源,25039944560.0,25039944560.0,1.0
sz000301,东方盛虹,6611232470.0,6611232470.0,1.0
sz000333,美的集团,7629112000.0,7629112000.0,1.0
sz000338,潍柴动力,8640220621.0,8640220621.0,1.0
sz000408,藏格矿业,1568914754.0,1568914754.0,1.0
sz000425,徐工机械,11711210449.0,11711210449.0,1.0
sz000538,云南白药,1784262603.0,1784262603.0,1.0
sz000568,泸州老窖,1471901463.0,1471901463.0,1.0
sz000596,古井贡酒,528599999.99999994,528600000.0,0.9999999999999999
sz000617,中油资本,12642079079.0,12642079079.0,1.0
sz000625,长安汽车,9912905548.000002,9912905548.0,1.0000000000000002
sz000630,铜陵有色,13409471510.0,13409471510.0,1.0
sz000651,格力电器,5601405741.0,5601405741.0,1.0
sz000657,中钨高新,2278604400.0,2278604400.0,1.0
sz000708,中信特钢,5047158628.0,5047158628.0,1.0
sz000725,京东方Ａ,37044328064.0,37044328064.0,1.0
sz000768,中航西飞,2780610135.0,2780610135.0,1.0
sz000776,广发证券,7824845511.0,7824845511.0,1.0
sz000792,盐湖股份,5291572541.0,5291572541.0,1.0
sz000807,云铝股份,3467957405.0,3467957405.0,1.0
sz000858,五 粮 液,3881608005.0,3881608005.0,1.0
sz000895,双汇发展,3464661212.9999995,3464661213.0,0.9999999999999999
sz000938,紫光股份,2860079874.0,2860079874.0,1.0
sz000963,华东医药,1753736848.0,1753736848.0,1.0
sz000975,山金国际,2772527436.0,2772527436.0,1.0
sz000977,浪潮信息,1468476655.0,1468476655.0,1.0
sz000988,华工科技,1005502707.0000001,1005502707.0,1.0000000000000002
sz000999,华润三九,1664217858.0,1664217858.0,1.0
sz001280,中国铀业,2068181818.0,2068181818.0,1.0
sz001391,国货航,12208881225.0,12208881225.0,1.0
sz001965,招商公路,6795094992.0,6795094992.0,1.0
sz001979,招商蛇口,9016032171.0,9016032171.0,1.0
sz002001,新 和 成,3073421680.0,3073421680.0,1.0
sz002027,分众传媒,14442199726.0,14442199726.0,1.0
sz002028,思源电气,782573282.0,782573282.0,1.0
sz002049,紫光国微,843233676.0,843233676.0,1.0
sz002050,三花智控,4208013934.9999995,4208013935.0,0.9999999999999999
sz002074,国轩高科,1814725342.0,1814725342.0,1.0
sz002142,宁波银行,6603590792.0,6603590792.0,1.0
sz002179,中航光电,2100246297.0,2100246297.0,1.0
sz002202,金风科技,4223788646.9999995,4223788647.0,0.9999999999999999
sz002230,科大讯飞,2402079841.0,2402079841.0,1.0
sz002236,大华股份,3269262074.0,3269262074.0,1.0
sz002241,歌尔股份,3552271178.0,3558062598.0,0.9983723108178998
sz002304,洋河股份,1506445074.0,1506445074.0,1.0
sz002311,海大集团,1656465372.9999998,1656465373.0,0.9999999999999999
sz002352,顺丰控股,5265308078.0,5265308078.0,1.0
sz002353,杰瑞股份,1023855833.0,1023855833.0,1.0
sz002371,北方华创,725689200.0,725689200.0,1.0
sz002384,东山精密,1831607532.0,1831607532.0,1.0
sz002415,海康威视,9164871550.0,9164871550.0,1.0
sz002422,科伦药业,1590781208.0,1590781208.0,1.0
sz002460,赣锋锂业,2096694404.0000002,2096694404.0,1.0000000000000002
sz002463,沪电股份,1924363537.0,1924363537.0,1.0
sz002466,天齐锂业,1713105208.0,1713105208.0,1.0
sz002475,立讯精密,7737876773.0,7737876773.0,1.0
sz002493,荣盛石化,9989442254.0,9989442254.0,1.0
sz002532,天山铝业,4628737415.0,4628737415.0,1.0
sz002558,巨人网络,1900561971.0,1900561971.0,1.0
sz002594,比亚迪,9117197565.0,9117197565.0,1.0
sz002600,领益智造,8120306431.0,8120306431.0,1.0
sz002602,世纪华通,7370682322.0,7370682322.0,1.0
sz002625,光启技术,2154587862.0,2154587862.0,1.0
sz002648,卫星化学,3368645690.0,3368645690.0,1.0
sz002709,天赐材料,2038561744.0,2038561744.0,1.0
sz002714,牧原股份,5772996144.0,5772996144.0,1.0
sz002736,国信证券,10241743060.0,10241743060.0,1.0
sz002837,英维克,1277131637.0,1277131637.0,1.0
sz002916,深南电路,681166595.0,681166595.0,1.0
